"Date","Sample","flag","S","T","Patm","P","pH","CO2","fCO2","pCO2","fCO2pot","pCO2pot","fCO2insitu","pCO2insitu","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite"
"7/26/17","MR17-0726",8,15.9,28.9,1,0,7.79167146663676,2.11324105115735e-05,743.535293265797,745.806667490803,743.535293265797,745.806667490803,743.535293265797,745.80667351672,0.00155726468729357,7.05691241697469e-05,0.0016489662219749,0.00172207728,1.23717183021276,2.02473147482645
"8/31/17","MR17-0831",8,15.72,26.5,1,0,7.91236526896764,1.55264219397331e-05,514.162212272627,515.778627162377,514.162212272627,515.778627162377,514.162212272627,515.778630190888,0.00144078755711121,7.85566545278162e-05,0.00153487063357876,0.001625814496,1.34994890115755,2.22648951808828
"9/28/17","MR17-0928",8,19.2,25.8,1,0,7.68582165171303,2.63808114599944e-05,873.677156775954,876.448407185347,873.677156775954,876.448407185347,873.677156775954,876.448416058479,0.00152308303115977,5.37040802475778e-05,0.00160316792286734,0.00165252846,0.909582598242554,1.46885631117056
"10/27/17","MR17-1027",8,17.96,17.6,1,0,7.86806734004882,2.10807368843428e-05,553.396514728202,555.338433485114,553.396514728202,555.338433485114,553.396514728202,555.33843771208,0.0015307006922112,5.81890124161192e-05,0.00160997044151167,0.00167052939,0.93563062050875,1.55384091648184
"11/22/17","MR17-1122",8,17.95,11,1,0,7.87560843425871,2.47223459201245e-05,528.036925165222,530.052530410773,528.036925165222,530.052530410773,528.036925165222,530.052534838404,0.00156126761826501,4.6812492516187e-05,0.00163280245670132,0.00167462256,0.72839519860866,1.22589926834514
"12/27/17","MR17-1227",8,18.76,5.9,1,0,7.95545818609089,2.30454924024932e-05,414.990825683904,416.683968237776,414.990825683904,416.683968237776,414.990825683904,416.683971289483,0.00154990910584003,4.68143395232094e-05,0.00161976893776573,0.00166488312,0.715736265103198,1.20854437892591
"1/25/18","MR18-0125",8,18.75,5.5,1,0,7.95599708928366,2.35335215462832e-05,417.706884157882,419.420157231592,417.706884157882,419.420157231592,417.706884157882,419.420160350244,0.00156697720287435,4.66191688753774e-05,0.00163712989329601,0.00168132093,0.711922081367592,1.20287341830532
"2/28/18","MR18-0228",8,17.18,10.4,1,0,7.89410656756773,2.28224768838925e-05,475.750609186207,477.580692803506,475.750609186207,477.580692803506,475.750609186207,477.580696444129,0.00146171656267302,4.35866732757619e-05,0.00152812571283268,0.00156791958,0.676290368679578,1.14503149099219
"3/8/18","MR18-0308",8,16.49,8.1,1,0,7.93736621691963,2.18493046437792e-05,419.549309968038,421.212213442544,419.549309968038,421.212213442544,419.549309968038,421.212216417106,0.00143852784040967,4.23218199495073e-05,0.00150269896500296,0.001541647714,0.650372678887998,1.1104150324609
"4/12/18","MR18-0412",8,16.43,11.9,1,0,7.85224425504803,2.46818747505518e-05,538.258026917796,540.28893469529,538.258026917796,540.28893469529,538.258026917796,540.28893920837,0.00147106450347846,4.12296654342293e-05,0.00153697604366324,0.00157067508,0.643880308833228,1.09250438946398
"5/10/18","MR18-0510",8,15.45,21.4,1,0,8.18982201306801,8.63128407311586e-06,249.230332495453,250.064121323782,249.230332495453,250.064121323782,249.230332495453,250.064122115252,0.00136479517027374,0.000115763183444606,0.00148918963779146,0.0016372018,1.91382978546692,3.2031359190065
"6/12/18","MR18-0612",8,9.32,24.2,1,0,7.78129576224966,2.65779661553318e-05,801.846677826635,804.439994633743,801.846677826635,804.439994633743,801.846677826635,804.440002361033,0.00153552480709783,4.56211037704693e-05,0.00160772387702364,0.0016372018,0.786662733740418,1.36291656778958
"7/7/17","VP17-0707",8,21.5,28,1,0,7.70206274546995,2.50910862685342e-05,888.383308393055,891.127189004928,888.383308393055,891.127189004928,888.383308393055,891.127197769525,0.00162491109427649,6.91167881470321e-05,0.00171911896869206,0.00179135,1.18295608753572,1.87232757687487
"8/4/17","VP17-0804",8,21.71,27.3,1,0,7.71157825100221,2.51608190170149e-05,876.561828655674,879.292134717564,876.561828655674,879.292134717564,876.561828655674,879.292143375269,0.00164945180418596,7.03566128699317e-05,0.00174496923607291,0.00181873,1.19726534065297,1.89651798450638
"9/22/17","VP17-0922",8,20.63,25.1,1,0,7.75093121479145,2.39300602544792e-05,784.171659605226,786.68003457908,784.171659605226,786.68003457908,784.171659605226,786.680041832107,0.00162035114212394,6.75998405944756e-05,0.0017118810429729,0.001782785,1.13546351794592,1.82113655920956
"10/6/17","VP17-1006",8,19.78,23.9,1,0,7.83676060969315,1.97802848064195e-05,625.39641783677,627.426094397264,625.39641783677,627.426094397264,625.39641783677,627.426099127273,0.00157274824322071,7.45369459431962e-05,0.00166706547397033,0.0017516,1.24385278203415,2.01163205932046
"11/3/17","VP17-1103",8,21.42,20,1,0,8.01610573868754,1.38713598448376e-05,397.714917178006,399.069009574853,397.714917178006,399.069009574853,397.714917178006,399.069011650454,0.00157837811521796,0.000102772290255916,0.00169502176531872,0.00182653,1.66910103856868,2.69989220568337
"12/1/17","VP17-1201",8,21.63,13.2,1,0,7.95888857452055,1.52407617530247e-05,356.918355540862,358.24247463164,356.918355540862,358.24247463164,356.918355540862,358.242476561769,0.00130626291671416,5.78889825803449e-05,0.00137939266104753,0.001454005,0.90931786041475,1.49117360184668
"1/8/18","VP18-0108",8,20.68,1.6,1,0,8.0264574689425,2.3512301045007e-05,365.155080091424,366.732780530794,365.155080091424,366.732780530794,365.155080091424,366.732783124905,0.00169808528373768,5.38328538185539e-05,0.00177543043860124,0.001830585,0.817162237215005,1.37155053735382
"2/2/18","VP18-0202",8,24.03,5.4,1,0,7.99187040284967,2.17404949381556e-05,396.619446661063,398.248346992156,396.619446661063,398.248346992156,396.619446661063,398.248349809962,0.00169941587677815,6.40652521875964e-05,0.0017852216239039,0.001859165,0.982912964935635,1.6126876566209
"3/2/18","VP18-0302",8,18.85,10,1,0,7.90603873391354,2.43547980701093e-05,505.783509536676,507.739313495984,505.783509536676,507.739313495984,505.783509536676,507.739317646183,0.00163282586203868,5.19432570979815e-05,0.00170912391720677,0.00175852,0.805294827319996,1.35013660136319
"4/4/18","VP18-0404",8,20.16,15,1,0,7.90579583189593,2.04931618298219e-05,503.500618407417,505.326402616454,503.500618407417,505.326402616454,503.500618407417,505.326406313402,0.00158584363169638,6.37674386735325e-05,0.00167010423219973,0.001740825,1.01013224356799,1.66438342573413
"5/4/18","VP18-0504",8,19.43,21.3,1,0,7.69430902202548,2.6927671996637e-05,792.094473958353,794.749311918941,792.094473958353,794.749311918941,792.094473958353,794.749319930735,0.00145469098708814,4.46116634156763e-05,0.00152623032250046,0.001563935,0.732257419046357,1.1946402561045
"6/12/18","VP18-0612",8,13.34,24.3,1,0,7.6320737400284,3.70109437133968e-05,1143.38951150299,1147.08436798863,1143.38951150299,1147.08436798863,1143.38951150299,1147.08438366875,0.00165064932677955,4.02083721133764e-05,0.00172786864260632,0.00174281318,0.683360724789579,1.15228953076284
"6/12/18","VP218-0612",8,13.34,24.3,1,0,7.6320737400284,3.70109437133968e-05,1143.38951150299,1147.08436798863,1143.38951150299,1147.08436798863,1143.38951150299,1147.08438366875,0.00165064932677955,4.02083721133764e-05,0.00172786864260632,0.00174281318,0.683360724789579,1.15228953076284
"6/19/18","VP218-0619",8,14.12,27,1,0,7.42886149304652,4.51461681292676e-05,1501.7292351587,1506.42721379479,1501.7292351587,1506.42721379479,1501.7292351587,1506.42723936707,0.00134810742621107,2.33115917522591e-05,0.0014165651860926,0.00140348,0.4043806911574,0.673528101974
"6/26/18","VP218-0626",8,13.25,28.5,1,0,7.50917199895018,3.69031146792493e-05,1268.73002207863,1272.62684925962,1268.73002207863,1272.62684925962,1268.73002207863,1272.62686695238,0.00134006695369485,2.85810703090442e-05,0.00140555113868314,0.00140734,0.504248571600585,0.841698169257502
"7/4/18","VP218-0703",8,12.72,29.2,1,0,7.82014705951436,1.64718467247525e-05,574.566512165452,576.315057713427,574.566512165452,576.315057713427,574.566512165452,576.315061289365,0.0012265939562859,5.39139049704637e-05,0.00129697970798111,0.00135366,0.959742075400006,1.60505345368418
"7/11/18","VP218-0711",8,14.8,25.7,1,0,7.6160876566356,3.07414134632673e-05,992.646903183062,995.799782787586,992.646903183062,995.799782787586,992.646903183062,995.79979426585,0.00139632837414998,3.62551646063076e-05,0.00146332495221955,0.00148234,0.620592971413635,1.03223636940297
