Sample_ID,Site,Treatment,Common_Garden,Replicate,FRAP,Temperature,Salinity,pH,DO_mg,TA,pCO2,Omega_Ca
MR-1-01-A,Merroir,Ambient,N,1,0.18013776,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-02-A,Merroir,Ambient,N,2,1.356664352,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-03-A,Merroir,Ambient,N,3,1.327036482,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-04-A,Merroir,Ambient,N,4,1.002151686,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-05-A,Merroir,Ambient,N,5,1.047629175,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-06-A,Merroir,Ambient,N,6,0.663643828,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-07-A,Merroir,Ambient,N,7,0.814161525,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
PR-1-01-A,Piankatank,Ambient,N,8,1.368577594,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-02-A,Piankatank,Ambient,N,9,1.004641186,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-03-A,Piankatank,Ambient,N,10,1.429498736,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-04-A,Piankatank,Ambient,N,11,1.108858891,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-05-A,Piankatank,Ambient,N,12,1.22682624,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-06-A,Piankatank,Ambient,N,13,0.998644087,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-07-A,Piankatank,Ambient,N,14,0.9818751,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
UC-1-01-A,Urbanna Creek,Ambient,N,15,1.461168696,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-02-A,Urbanna Creek,Ambient,N,16,1.312774979,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-03-A,Urbanna Creek,Ambient,N,17,1.019685053,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-04-A,Urbanna Creek,Ambient,N,18,1.034952618,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-05-A,Urbanna Creek,Ambient,N,19,1.097726247,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-06-A,Urbanna Creek,Ambient,N,20,0.565386697,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-07-A,Urbanna Creek,Ambient,N,21,1.243077004,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
VP-1-01-A,VIMS Pier,Ambient,N,22,1.178754205,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-02-A,VIMS Pier,Ambient,N,23,0.683423388,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-03-A,VIMS Pier,Ambient,N,24,0.724892874,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-04-A,VIMS Pier,Ambient,N,25,0.89882126,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-05-A,VIMS Pier,Ambient,N,26,0.71488344,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-06-A,VIMS Pier,Ambient,N,27,0.767463443,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-07-A,VIMS Pier,Ambient,N,28,0.72957555,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
MR-1-01-L,Merroir,Low,N,29,1.231552663,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-02-L,Merroir,Low,N,30,0.743558349,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-03-L,Merroir,Low,N,31,1.085164561,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-04-L,Merroir,Low,N,32,1.239081374,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-05-L,Merroir,Low,N,33,1.368511406,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-06-L,Merroir,Low,N,34,0.784504649,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
MR-1-07-L,Merroir,Low,N,35,1.025268406,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419
PR-1-01-L,Piankatank,Low,N,36,0.994690364,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-02-L,Piankatank,Low,N,37,1.546879588,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-03-L,Piankatank,Low,N,38,1.126749059,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-04-L,Piankatank,Low,N,39,1.100959571,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-05-L,Piankatank,Low,N,40,1.659502328,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-06-L,Piankatank,Low,N,41,1.283305642,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
PR-1-07-L,Piankatank,Low,N,42,1.366859256,26.03,8.633,7.52937853,6.665,1348.159,1386.63724,0.97195109
UC-1-01-L,Urbanna Creek,Low,N,43,1.110384357,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-02-L,Urbanna Creek,Low,N,44,1.440714047,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-03-L,Urbanna Creek,Low,N,45,1.590357659,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-04-L,Urbanna Creek,Low,N,46,0.837663608,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-05-L,Urbanna Creek,Low,N,47,0.693331632,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-06-L,Urbanna Creek,Low,N,48,0.591732528,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
UC-1-07-L,Urbanna Creek,Low,N,49,1.254956141,24.75,9.065,7.7431076,6.5,1388.956,769.114421,1.03973365
VP-1-01-L,VIMS Pier,Low,N,50,0.783523393,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-02-L,VIMS Pier,Low,N,51,0.749822181,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-03-L,VIMS Pier,Low,N,52,0.768015922,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-04-L,VIMS Pier,Low,N,53,0.574277969,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-05-L,VIMS Pier,Low,N,54,0.922673672,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-06-L,VIMS Pier,Low,N,55,0.683132828,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693
VP-1-07-L,VIMS Pier,Low,N,56,0.935580066,24.811,15.705,7.77930839,5.933,1570.918,783.812581,1.65038693